,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,[0.],[0.00021282],[0.00999022],[0.],[0.0007644],[0.],[0.],[0.],[3.1590462e-06],[0.],[0.],[0.],[0.],[1.7881393e-07],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.6481512],[0.],[0.],[0.02009624],[0.],[0.],[4.4703484e-07],[0.01178584],[0.7068965],[0.],[0.],[0.],[0.],[0.],[0.00012195],[0.],[0.],[1.1920929e-07],[0.],[0.],[0.00510284],[0.],[0.],[0.],[0.],[0.13361904],[0.],[0.],[0.01416737],[0.],[0.],[0.],[0.02456668],[0.],[0.],[1.1444092e-05],[0.],[0.0006524],[0.],[0.00517797],[0.03300217],[0.]
1,[2.0861626e-07],[0.00969639],[0.00073493],[0.73440444],[0.0041135],[0.],[0.],[0.],[0.13404024],[1.1026859e-06],[2.3841858e-07],[0.],[0.],[0.58348256],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[4.4703484e-07],[4.887581e-06],[0.],[0.08717167],[0.00047785],[0.],[0.],[0.33160722],[0.00066668],[5.722046e-06],[0.],[0.],[6.2584877e-07],[0.00039977],[0.],[0.01405132],[0.],[0.],[0.72941613],[0.02629963],[0.],[2.0861626e-07],[0.00036174],[0.00061315],[1.9460917e-05],[0.],[0.00012791],[0.],[0.],[0.00061142],[4.172325e-07],[0.04106253],[0.],[0.00041777],[0.01059091],[0.],[0.06311232],[0.],[0.00530893],[0.12926096],[0.00115728],[0.00033849],[0.]
2,[0.],[0.634428],[0.532941],[0.00013846],[0.7611569],[0.],[0.],[0.],[0.02515393],[0.],[0.],[0.],[0.],[0.00091225],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.0037787],[0.],[2.592802e-06],[0.42586488],[0.],[0.],[0.00370455],[0.50862277],[0.00494149],[0.],[0.],[0.],[2.682209e-07],[0.],[0.49840537],[0.],[0.],[7.790327e-05],[7.1525574e-07],[0.],[1.0579824e-05],[1.1920929e-07],[1.1920929e-07],[2.9802322e-08],[0.],[0.16554847],[0.],[0.],[0.48698536],[0.],[1.1622906e-06],[0.],[0.39337632],[4.172325e-07],[0.],[0.08532378],[0.],[0.77326435],[4.053116e-06],[0.64255786],[0.3444263],[0.]
3,[0.00333023],[4.917383e-06],[1.3709068e-06],[0.00012439],[3.3080578e-06],[7.1525574e-07],[3.2246113e-05],[0.],[2.1398067e-05],[0.12559292],[0.00986505],[0.],[0.],[5.2273273e-05],[0.],[4.4703484e-07],[0.],[0.],[0.],[1.66893e-06],[2.9802322e-08],[0.01164609],[1.4901161e-07],[4.3213367e-06],[0.00158215],[1.013279e-06],[0.],[0.],[4.979968e-05],[1.3113022e-06],[5.9604645e-08],[0.],[1.1622906e-06],[0.0531756],[0.04327777],[0.],[5.811453e-06],[0.],[0.],[0.00018224],[0.004015],[0.],[0.],[0.0610877],[0.04155245],[0.2989624],[0.00012863],[4.4703484e-07],[4.082918e-06],[0.],[1.1026859e-06],[0.03158513],[0.00234923],[7.1525574e-07],[9.834766e-07],[0.00683704],[0.],[1.3440847e-05],[1.1324883e-06],[2.4735928e-06],[0.00123891],[1.7285347e-06],[8.6426735e-07],[1.4960766e-05]
4,[6.54161e-05],[0.],[0.],[0.],[0.],[0.02042422],[0.00026062],[8.329749e-05],[0.],[2.3066998e-05],[4.1514635e-05],[6.502867e-05],[4.824996e-05],[2.9802322e-08],[0.5570347],[0.00529027],[0.00047141],[5.13196e-05],[0.0050208],[0.00102991],[0.59292144],[5.6236982e-05],[0.],[0.00440153],[1.7881393e-07],[0.],[4.87566e-05],[0.0009689],[0.],[0.],[0.],[0.00204703],[0.00560194],[2.8282404e-05],[1.1920929e-06],[7.301569e-05],[0.],[6.827712e-05],[0.06881768],[0.],[8.940697e-08],[0.00014642],[0.],[7.1525574e-07],[6.556511e-07],[2.2649765e-06],[7.18534e-05],[0.],[0.00224975],[7.0273876e-05],[0.],[3.0428171e-05],[1.7881393e-07],[0.01014218],[0.],[2.3841858e-07],[0.00017947],[0.],[0.00279012],[0.],[1.4901161e-07],[0.],[0.],[0.00049064]
5,[0.],[0.07622939],[0.00616005],[0.20280099],[0.03363973],[0.],[0.],[0.],[0.5660732],[2.0861626e-07],[2.9802322e-08],[0.],[0.],[0.6233927],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.4901161e-07],[2.0563602e-05],[0.],[0.00478691],[0.00401306],[0.],[0.],[0.73257464],[0.00559121],[2.69413e-05],[0.],[0.],[1.7881393e-07],[2.0176172e-05],[0.],[0.10723084],[0.],[0.],[0.12529984],[0.00135857],[0.],[5.066395e-07],[1.8239021e-05],[3.0875206e-05],[1.4305115e-06],[0.],[0.00107652],[0.],[0.],[0.00513002],[8.940697e-08],[0.00215214],[0.],[0.00351012],[0.00053889],[0.],[0.36213666],[0.],[0.04304525],[0.00742155],[0.0096705],[0.00284576],[0.]
6,[1.9967556e-06],[0.00041953],[3.156066e-05],[0.17832878],[0.00017706],[0.],[2.3841858e-07],[0.],[0.00659236],[1.0758638e-05],[2.1755695e-06],[0.],[0.],[0.05665544],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[4.5001507e-06],[1.4603138e-06],[2.9802322e-08],[0.7073303],[2.0503998e-05],[0.],[0.],[0.02082705],[2.8580427e-05],[1.6987324e-06],[0.],[0.],[6.0796738e-06],[0.03329927],[0.],[0.00061056],[0.],[0.],[0.241339],[0.69935215],[0.],[5.9604645e-08],[0.03022182],[0.05018896],[0.00166792],[1.1920929e-07],[9.924173e-06],[2.9802322e-08],[0.],[2.6255846e-05],[3.993511e-06],[0.71152115],[0.],[1.8715858e-05],[0.47967446],[0.],[0.00287971],[0.],[0.00022879],[0.68396485],[4.9710274e-05],[1.7225742e-05],[1.1920929e-07]
7,[6.854534e-07],[0.],[0.],[0.],[0.],[0.00021887],[2.771616e-06],[0.41892022],[0.],[2.9802322e-07],[4.7683716e-07],[0.517143],[0.3745026],[0.],[0.00175476],[4.720688e-05],[0.11473653],[0.43025178],[0.01253158],[1.0818243e-05],[0.00150961],[5.662441e-07],[0.],[4.7028065e-05],[0.],[0.],[0.4035291],[0.02781841],[0.],[0.],[0.],[0.02779946],[5.9902668e-05],[2.9802322e-07],[0.],[0.44249997],[0.],[0.49102077],[0.00430343],[0.],[0.],[0.20474312],[0.],[0.],[0.],[0.],[7.748604e-07],[0.],[2.3931265e-05],[0.47666994],[0.],[2.9802322e-07],[0.],[0.00010899],[0.],[0.],[0.19055098],[0.],[2.9802322e-05],[0.],[0.],[0.],[0.],[5.185604e-06]
8,[0.],[0.75677794],[0.31211054],[0.00049651],[0.71816784],[0.],[0.],[0.],[0.08478901],[0.],[0.],[0.],[0.],[0.00326753],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00150594],[0.],[9.387732e-06],[0.22776598],[0.],[0.],[0.01317468],[0.29157814],[0.00197074],[0.],[0.],[0.],[5.066395e-07],[0.],[0.7616409],[0.],[0.],[0.00027969],[2.7120113e-06],[0.],[4.172325e-06],[2.3841858e-07],[3.5762787e-07],[5.9604645e-08],[0.],[0.07311904],[0.],[0.],[0.27402502],[0.],[4.23193e-06],[0.],[0.2049942],[1.013279e-06],[0.],[0.25089616],[0.],[0.75786257],[1.4603138e-05],[0.41684407],[0.1728079],[0.]
9,[0.],[0.71093476],[0.1559278],[0.00190988],[0.5092033],[0.],[0.],[0.],[0.26301134],[8.940697e-08],[0.],[0.],[0.],[0.01247063],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00061372],[0.],[3.620982e-05],[0.10721183],[0.],[0.],[0.04891205],[0.14352629],[0.00080335],[0.],[0.],[0.],[9.23872e-07],[0.],[0.7504627],[0.],[0.],[0.00107637],[1.0251999e-05],[0.],[2.0563602e-06],[3.2782555e-07],[4.4703484e-07],[1.4901161e-07],[0.],[0.03111947],[0.],[0.],[0.13321006],[0.],[1.6212463e-05],[0.],[0.09500998],[4.053116e-06],[0.],[0.5633514],[0.],[0.57276505],[5.6266785e-05],[0.22542682],[0.07838961],[0.]
